Тема,Заголовок,Застройщик,Приоритет застройщика,Приоритет от стейкхолдеров,Дата создания,Модуль,Состояние пожелания,ID задачи
API: Общие интеграции,Почему с 10 по 16 января в реестре отсутствуют вебхуки,Атлас,A,Нет: приоритет от стейкхолдера,16 янв. 2025 12:24,Внешнее API (apiintegration),Включили в эпик ДК,HELPDESK-4057
API: Общие интеграции,Добавить параметр получения номера регистрации договора по API,ЛенРусСтрой,B,Нет: приоритет от стейкхолдера,17 июн. 2025 16:59,Внешнее API (apiintegration),Зафиксировано,HELPDESK-5185
API: Общие интеграции,Получать по API количество отправленных КП,ЮСИ,A,Нет: приоритет от стейкхолдера,24 дек. 2025 15:31,Внешнее API (apiintegration),Рассматривает аккаунт,HELPDESK-6419
API: Общие интеграции,Согласованный договор в Аллио не выгружается в 1С:Недвижимость,УДС,A,Нет: приоритет от стейкхолдера,26 июн. 2025 12:21,Внешнее API (apiintegration),Зафиксировано,HELPDESK-5253
API: Общие интеграции,Реализовать отчёт по платежам договоров бронирования из 1С,Плюс,A,Нет: приоритет от стейкхолдера,9 июл. 2025 18:09,Конфигуратор отчётов (configurator),Рассматривает аккаунт,HELPDESK-5327
CRM: Общие интеграции,Передавать в CRM сообщение о продлении брони с комментарием о причине,Атлас,B,Нет: приоритет от стейкхолдера,1 апр. 2025 20:03,Интеграции CRM (crm),Зафиксировано,HELPDESK-4713
CRM: Общие интеграции,"Добавить стадии ""Показ отменен"" и ""Показ проведен"" в интеграции СРМ",ЛенРусСтрой,B,Нет: приоритет от стейкхолдера,2 июн. 2025 10:39,Интеграции CRM (crm),Зафиксировано,HELPDESK-5084
CRM: Общие интеграции,Рассмотреть передачу данных из поля Дата расторжения договора в поле crm,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,22 июл. 2025 13:04,Интеграции CRM (crm),Включили в эпик ДК,HELPDESK-5429
CRM: Общие интеграции,Получать отдельно Фамилию Имя и Отчество от Битрикс,Самсон,A,Нет: приоритет от стейкхолдера,29 мая 2025 10:14,Интеграции CRM (crm),Рассматривает аккаунт,HELPDESK-5073
CRM: Общие интеграции,Отправлять уведомление о согласовании РОП-ом в telegram,Макрострой,A,Нет: приоритет от стейкхолдера,29 янв. 2025 13:15,Уведомления (events),Зафиксировано,HELPDESK-4156
CRM: Общие интеграции,Добавить возможность передавать данные в одно и тоже поле CRM,Амград,A,Нет: приоритет от стейкхолдера,3 июн. 2025 16:39,Интеграции CRM (crm),Сообщено клиенту,HELPDESK-5100
CRM: Общие интеграции,Реализовать возможность массового принудительного обновления старых сделок в Аллио и СРМ,Аквилон,A,Нет: приоритет от стейкхолдера,30 июл. 2025 18:55,Интеграции CRM (crm),Зафиксировано,HELPDESK-5518
CRM: Общие интеграции,"Добавить синхронизацию Allio и Bitrix при нажатии кнопки ""Подбор",ALLIO Demo,A,A,6 окт. 2025 17:43,Интеграции CRM (crm),Сообщено клиенту,HELPDESK-5908
CRM: Статусы брони,Передавать в Битрикс статус брони,УДС,B,Нет: приоритет от стейкхолдера,5 дек. 2025 08:08,Интеграции CRM (crm),Рассматривает аккаунт,HELPDESK-6289
EVA: Акции в каталоге,Добавить в каталог Ева акции для помещений,Формула Сити,A,Нет: приоритет от стейкхолдера,11 нояб. 2025 18:32,Акции (promo),Зафиксировано,HELPDESK-6130
EVA: Доработки интерфейса,EVA - доработка сайта,Формула Сити,A,Нет: приоритет от стейкхолдера,23 дек. 2025 18:14,EVA,В очереди на разработку,HELPDESK-6415
EVA: Фильтрация помещений,Не выводить в каталог ЕВА заблокированные помещения,Формула Сити,B,Нет: приоритет от стейкхолдера,16 дек. 2025 15:04,EVA,В очереди на разработку,HELPDESK-6372
АЦО: Общие,Добавить возможность отменить последнее изменение цены для помещение,Острова,A,Нет: приоритет от стейкхолдера,10 мар. 2025 11:50,Шахматка (layout),Зафиксировано,HELPDESK-4537
АЦО: Общие,Добавить в таблицу изменения стоимости 3 новых столбца,УДС,B,Нет: приоритет от стейкхолдера,14 янв. 2025 15:21,Массовая смена цен (price_change),Зафиксировано,HELPDESK-4038
АЦО: Общие,Добавить в массовой смене цен столбец с нумерацией строк,Аквилон,B,Нет: приоритет от стейкхолдера,17 апр. 2025 09:57,Массовая смена цен (price_change),Зафиксировано,HELPDESK-4843
АЦО: Общие,Добавить возможность импорта детализации АЦО в эксель,Амград,B,Нет: приоритет от стейкхолдера,17 июн. 2025 14:36,АЦО (pricecfg),Зафиксировано,HELPDESK-5184
АЦО: Общие,Добавить возможность округления стоимости объектов в массовой смене цен,Амград,A,Нет: приоритет от стейкхолдера,17 янв. 2025 12:29,Массовая смена цен (price_change),Зафиксировано,HELPDESK-4063
АЦО: Общие,"Выбирать квартиры для АЦО из шахматки, а не списка",УДС,B,Нет: приоритет от стейкхолдера,18 февр. 2025 18:04,АЦО (pricecfg),Зафиксировано,HELPDESK-4375
АЦО: Общие,Фильтровать нумерацию стояков по подъездам в массовой смене цен,Плюс,A,Нет: приоритет от стейкхолдера,20 окт. 2025 17:56,Массовая смена цен (price_change),Зафиксировано,HELPDESK-5985
АЦО: Общие,Добавить цену продажи помещения в выгрузку таблицы из шахматки,Плюс,B,Нет: приоритет от стейкхолдера,20 окт. 2025 19:31,Массовая смена цен (price_change),Зафиксировано,HELPDESK-5988
АЦО: Общие,Добавить в массовую смену цен фильтр по типовым планировкам,Плюс,A,Нет: приоритет от стейкхолдера,22 мая 2025 17:57,Массовая смена цен (price_change),Зафиксировано,HELPDESK-5040
АЦО: Общие,Добавить возможность отката последней переоценки,Плюс,B,Нет: приоритет от стейкхолдера,25 нояб. 2025 11:39,Массовая смена цен (price_change),Рассматривает разработка,HELPDESK-6221
АЦО: Общие,Добавить столбец со стоимостью объекта в конфигуратор отчетов,Амград,A,Нет: приоритет от стейкхолдера,28 июл. 2025 12:47,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-5483
АЦО: Общие,Настраивать АЦО на разные стояки в одном правиле,Амград,B,Нет: приоритет от стейкхолдера,6 июн. 2025 09:02,АЦО (pricecfg),Зафиксировано,HELPDESK-5125
АЦО: Уведомления,Уведомление в Аллио о сработке правила АЦО,Самсон,B,Нет: приоритет от стейкхолдера,14 янв. 2025 18:18,Уведомления (events),Зафиксировано,HELPDESK-4043
АЦО: Частота срабатывания,Добавить сводку в уведомление о срабатывании АЦО,Амград,B,Нет: приоритет от стейкхолдера,18 июн. 2025 20:28,АЦО (pricecfg),Зафиксировано,HELPDESK-5195
АЦО: Частота срабатывания,Свободный ввод частоты срабатывания правил АЦО,Самсон,B,Нет: приоритет от стейкхолдера,23 июл. 2025 18:17,АЦО (pricecfg),Зафиксировано,HELPDESK-5450
Агентства: Общие,Упрощенный сценарий регистрации агентства,ЛенРусСтрой,A,A,14 июл. 2025 11:40,Агентства (cashback),Включили в эпик ДК,HELPDESK-5362
Агентства: Общие,Работа агентов через одну учетку,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 11:48,Агентства (cashback),Зафиксировано,HELPDESK-5363
Агентства: Общие,Скрывать объекты без старта продаж от агентов,Эффект Девелопмент,B,Нет: приоритет от стейкхолдера,24 апр. 2025 11:37,Агентства (cashback),Рассматривает аккаунт,HELPDESK-4883
Агентства: Перебронирование,Бронирование: замена агентом помещения для перебронирования,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 11:22,Агентства (cashback),Зафиксировано,HELPDESK-5358
Агентства: Регистрация самозанятых,Регистрация по ссылке для агентов-самозанятых,Макси,B,Нет: приоритет от стейкхолдера,11 июл. 2025 11:35,Агентства (cashback),Зафиксировано,HELPDESK-5335
Агентства: Чат с застройщиком,Бронирование: Уведомление агента об окончании бронирования,ЛенРусСтрой,A,A,14 июл. 2025 11:25,Агентства (cashback),Зафиксировано,HELPDESK-5359
Агентства: Чат с застройщиком,Чат между агентом и застройщиком,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,14 июл. 2025 11:29,Агентства (cashback),Зафиксировано,HELPDESK-5360
Акции: Комбо-акции,Комбо-акции на несколько лотов,Атлас,B,Нет: приоритет от стейкхолдера,13 авг. 2025 11:51,Акции (promo),Зафиксировано,HELPDESK-5616
Акции: Общие,Добавить возможность выбрать все объекты в массовом назначении акций,Аквилон,B,Нет: приоритет от стейкхолдера,1 авг. 2025 10:34,Акции (promo),Зафиксировано,HELPDESK-5534
Акции: Общие,Почему не применяется вторая акция месяца,Элемент,B,Нет: приоритет от стейкхолдера,12 февр. 2025 16:15,Акции (promo),Зафиксировано,HELPDESK-4307
Акции: Общие,Реализовать функционал для отслеживания истории назначения акций на помещения,Оникс,B,Нет: приоритет от стейкхолдера,16 янв. 2025 12:24,Акции (promo),Зафиксировано,HELPDESK-4056
Акции: Общие,Добавить приоритет акций в таблицу реестра акций,Элемент,A,Нет: приоритет от стейкхолдера,21 мар. 2025 19:58,Акции (promo),Зафиксировано,HELPDESK-4647
Акции: Общие,Добавить возможность зафиксировать цену м2,Амград,B,Нет: приоритет от стейкхолдера,27 мая 2025 09:33,Акции (promo),Зафиксировано,HELPDESK-5058
Акции: Общие,Не отображать в шахматке не наступившие акции,УДС,A,Нет: приоритет от стейкхолдера,30 окт. 2025 15:20,Акции (promo),Зафиксировано,HELPDESK-6051
Акции: Общие,Добавить возможность изменять логику применения акций,Плюс,B,Нет: приоритет от стейкхолдера,9 июн. 2025 13:48,Акции (promo),Зафиксировано,HELPDESK-5139
Акции: Установка стоимости,Передавать в фид для сайта название акции,Амград,A,Нет: приоритет от стейкхолдера,29 июл. 2025 16:37,Фиды (feeds),Зафиксировано,HELPDESK-5503
Бронирование: Прочее,Заголовок столбца не соответствует логике подсчёта,Плюс,B,Нет: приоритет от стейкхолдера,16 июн. 2025 15:04,Дашборды (dashboard),Зафиксировано,HELPDESK-5173
Бронирование: Прочее,Добавить для агента в заявку на бронь необязательное поле формы оплаты,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,27 мар. 2025 14:47,Заявки на бронь (reserve request),Зафиксировано,HELPDESK-4679
Бронирование: Прочее,Добавить для агентов возможность видеть свои брони и сделки,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,31 мар. 2025 16:47,Профиль (profile),Сообщено клиенту,HELPDESK-4704
Галерея: Общие,Указывать в галерее объектов начальную цену только помещений в продаже,Атлас,B,Нет: приоритет от стейкхолдера,23 июл. 2025 13:28,Подбор по параметрам (buildingssearch),Зафиксировано,HELPDESK-5444
Графики платежей: Изменение,Возможно ли настроить график платежей с удорожанием,Атлас,B,Нет: приоритет от стейкхолдера,13 мая 2025 11:05,Заявки на договор (applist),Зафиксировано,HELPDESK-4971
Графики платежей: Общие,"Добавить возможность строить график платежей в разрезе размера платежа, а не периодичности",Амград,B,Нет: приоритет от стейкхолдера,30 янв. 2025 08:46,Заявки на договор (applist),Зафиксировано,HELPDESK-4168
ДКП,Добавить поле для ЕГРН в ДКП/ДДУ,Бауинвест,A,Нет: приоритет от стейкхолдера,10 нояб. 2025 15:07,Заявки на договор (applist),Рассматривает разработка,HELPDESK-6109
ДКП,Добавить возможность самостоятельно настраивать формулу для автоматической генерации номера договора,Амград,B,Нет: приоритет от стейкхолдера,20 янв. 2025 15:41,Управление шаблонами (templates),Зафиксировано,HELPDESK-4078
ДКП,Площадь в ЗнД не поменялась на ту которую указали в ПИБ,Амград,B,Нет: приоритет от стейкхолдера,27 мая 2025 10:05,Заявки на договор (applist),Зафиксировано,HELPDESK-5060
Договоры: Прочее,Скачивание графика платежей в Excel,Атлас,B,Нет: приоритет от стейкхолдера,13 авг. 2025 12:36,—,Зафиксировано,HELPDESK-5622
Договоры: Прочее,Добавить в Аллио оси подъезда и поле под них для генерации договора,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,29 июл. 2025 14:46,—,Зафиксировано,HELPDESK-5497
Договоры: Прочее,Добавить автоматическое обновление даты рассрочки  в заявке на договор,УДС,B,Нет: приоритет от стейкхолдера,7 нояб. 2025 13:48,Карточка объекта (building),Включили в эпик ДК,HELPDESK-6090
Заявки на договор: Общие,Включить обязательность настройки Электронная регистрация в заявке на договор,Макрострой,B,Нет: приоритет от стейкхолдера,12 февр. 2025 17:30,Заявки на договор (applist),Зафиксировано,HELPDESK-4309
Заявки на договор: Общие,Расширить UX для заполнения графика рассрочки,Острова,B,Нет: приоритет от стейкхолдера,30 июн. 2025 12:20,Заявки на договор (applist),Включили в эпик ДК,HELPDESK-5265
Заявки на договор: Общие,Почему отличается сумма в ЗнД и сгенерированном договоре,УДС,A,Нет: приоритет от стейкхолдера,5 авг. 2025 09:17,Заявки на договор (applist),Зафиксировано,HELPDESK-5554
Заявки на договор: Согласование,"Не сбрасывать согласования при правках, если правки вносил один из согласовантов",Амград,A,Нет: приоритет от стейкхолдера,23 апр. 2025 13:43,Заявки на договор (applist),Включили в эпик ДК,HELPDESK-4876
Заявки на договор: Согласование,Добавить возможность вернуть несогласованную заявку на договор менеджеру для доработки,Макрострой,A,Нет: приоритет от стейкхолдера,29 янв. 2025 11:55,Заявки на договор (applist),Зафиксировано,HELPDESK-4151
Заявки на договор: Согласование,Не сбрасывать согласования при редактировании даты договора в заявке на договор,Верен,A,Нет: приоритет от стейкхолдера,30 янв. 2025 15:12,Заявки на договор (applist),Зафиксировано,HELPDESK-4181
Заявки на договор: Согласование,Как включить дополнительные роли согласования,Верен,A,Нет: приоритет от стейкхолдера,9 янв. 2025 12:20,Заявки на договор (applist),Зафиксировано,HELPDESK-4009
КП: Кастомизация,Кастомизация Коммерческого предложения,ЮСИ,A,Нет: приоритет от стейкхолдера,4 июл. 2025 15:50,КП (offer),Включили в эпик ДК,HELPDESK-5293
КП: Общие,Дублирование логотипа Аллио в ПДФ в КП,АльфаСтройИнвест,A,A,12 нояб. 2025 17:00,КП (offer),Включили в эпик ДК,HELPDESK-6138
КП: Общие,Добавить расчет по Ипотеке в ПДФ в КП,АльфаСтройИнвест,A,A,12 нояб. 2025 17:01,КП (offer),Включили в эпик ДК,HELPDESK-6139
КП: Общие,Выводить заголовок объекта в КП с несколькими очередями,Макси,B,Нет: приоритет от стейкхолдера,17 июл. 2025 08:57,КП (offer),Зафиксировано,HELPDESK-5391
КП: Общие,Изменить название застройщика в автосообщении при отправке КП в мессенджеры,Элемент,B,Нет: приоритет от стейкхолдера,17 янв. 2025 18:33,КП (offer),Включили в эпик ДК,HELPDESK-4068
КП: Общие,Добавить возможность редактировать график платежей в КП,Амград,B,Нет: приоритет от стейкхолдера,20 мая 2025 15:19,КП (offer),Зафиксировано,HELPDESK-5024
КП: Общие,Добавить на настройку расчёта стоимости КП редактирование графика платежей,Аквилон,A,Нет: приоритет от стейкхолдера,25 февр. 2025 17:53,КП (offer),Включили в эпик ДК,HELPDESK-4437
КП: Общие,Добавить для КП возможность скрывать контакты менеджеров и прикреплять ссылки на внешние сервисы,ЮСИ,B,Нет: приоритет от стейкхолдера,27 янв. 2025 09:06,КП (offer),Включили в эпик ДК,HELPDESK-4125
КП: Общие,Добавить возможность не выводить контакты менеджеров в  КП,Атлас,A,Нет: приоритет от стейкхолдера,6 нояб. 2025 13:08,КП (offer),Включили в эпик ДК,HELPDESK-6082
КП: Общие,Разработать вайт-лейбл КП на базе веб-КП ALLIO,Элемент,B,Нет: приоритет от стейкхолдера,7 февр. 2025 13:44,КП (offer),Зафиксировано,HELPDESK-4253
КП: Общие,Выгружать в КП фактическую дату сдачи дома,ЮСИ,B,Нет: приоритет от стейкхолдера,8 апр. 2025 11:28,КП (offer),Зафиксировано,HELPDESK-4757
КП: Стоимость и ценообразование,Добавить возможность выводить в КП только одну стоимость помещения (базовую или 100%),УДС,B,Нет: приоритет от стейкхолдера,22 окт. 2025 15:55,КП (offer),Зафиксировано,HELPDESK-6006
КП: Стоимость и ценообразование,Добавить в КП на подборку общую сумму всех помещений,Элемент,B,Нет: приоритет от стейкхолдера,31 янв. 2025 12:45,КП (offer),Зафиксировано,HELPDESK-4192
Карточка сделки: Общие,Добавить в КС новое поле для даты по оплате задолженности,Аквилон,A,Нет: приоритет от стейкхолдера,11 февр. 2025 13:37,Карточки сделок (dealcard и agreement и cession),Рассматривает аккаунт,HELPDESK-4279
Карточка сделки: Общие,Разрешить в КС указывать задолженность по оплате ДДУ как 0,Аквилон,A,Нет: приоритет от стейкхолдера,11 февр. 2025 15:09,Карточки сделок (dealcard и agreement и cession),Рассматривает аккаунт,HELPDESK-4283
Карточка сделки: Общие,Как в новой КС увидеть историю изменений сделки,Аквилон,A,Нет: приоритет от стейкхолдера,11 февр. 2025 18:47,Карточки сделок (dealcard и agreement и cession),Зафиксировано,HELPDESK-4287
Карточка сделки: Общие,Добавить в КС историю изменений по сделке,Аквилон,A,Нет: приоритет от стейкхолдера,12 февр. 2025 12:32,Карточки сделок (dealcard и agreement и cession),Рассматривает аккаунт,HELPDESK-4296
Карточка сделки: Общие,Добавить историю изменения в КС,Аквилон,A,Нет: приоритет от стейкхолдера,12 февр. 2025 18:41,Карточки сделок (dealcard и agreement и cession),Рассматривает аккаунт,HELPDESK-4312
Карточка сделки: Общие,Добавить возможность удалять файлы из КС,Верен,B,Нет: приоритет от стейкхолдера,13 янв. 2025 17:59,Карточки сделок (dealcard и agreement и cession),Зафиксировано,HELPDESK-4033
Карточка сделки: Общие,"Добавить статус ""Перепродажа"" в конфигуратор отчётов",Атлас,B,Нет: приоритет от стейкхолдера,3 апр. 2025 13:35,Карточки сделок (dealcard и agreement и cession),Зафиксировано,HELPDESK-4726
Карточка сделки: Эскроу-счета,Выводить в КС номер эскроу-счета покупателя,Аквилон,B,Нет: приоритет от стейкхолдера,19 февр. 2025 17:06,Карточки сделок (dealcard и agreement и cession),Зафиксировано,HELPDESK-4386
Карточка сделки: Эскроу-счета,Добавить в КС поле с датой открытия эскроу-счета,Макрострой,B,Нет: приоритет от стейкхолдера,19 февр. 2025 17:07,Карточки сделок (dealcard и agreement и cession),Зафиксировано,HELPDESK-4387
Контрагенты: Общие,Добавить в реестр контрагентов поиск по номеру телефона,Плюс,A,A,1 апр. 2025 13:25,Контрагенты (agent),Зафиксировано,HELPDESK-4708
Контрагенты: Общие,Добавить параметры во внешнее API для получения данных,Плюс,B,Нет: приоритет от стейкхолдера,10 июл. 2025 16:44,Внешнее API (apiintegration),В очереди на разработку,HELPDESK-5331
Контрагенты: Общие,Можно ли искать контрагентов по номеру телефона в реестре,Верен,A,Нет: приоритет от стейкхолдера,11 мар. 2025 17:15,Контрагенты (agent),Зафиксировано,HELPDESK-4552
Контрагенты: Общие,Конструктор отчетов для базовой сущности контрагент,Атлас,A,Нет: приоритет от стейкхолдера,13 авг. 2025 11:55,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-5617
Контрагенты: Общие,Добавить возможность отправлять данные контрагента в Контур-недвижимость,Эффект Девелопмент,B,Нет: приоритет от стейкхолдера,15 апр. 2025 18:04,Внешнее API (apiintegration),Рассматривает аккаунт,HELPDESK-4831
Контрагенты: Общие,Галочка иностранный гражданин не позволяет сохранить имеющиеся данные о гражданине,Самсон,A,Нет: приоритет от стейкхолдера,29 мая 2025 13:25,Контрагенты (agent),Зафиксировано,HELPDESK-5074
Контрагенты: Общие,Добавить при создании сделки возможность указать опекуна для ребенка,УДС,B,Нет: приоритет от стейкхолдера,30 сент. 2025 08:49,Контрагенты (agent),Зафиксировано,HELPDESK-5874
Контрагенты: Общие,"Добавить новые поля для блока ""Материнский капитал"" в заявке на договор",Амград,A,Нет: приоритет от стейкхолдера,5 февр. 2025 14:36,Заявки на договор (applist),Зафиксировано,HELPDESK-4234
Контрагенты: Паспортные данные,Добавить проверку паспортных данных в карточке контрагента,АльфаСтройИнвест,A,A,14 нояб. 2025 16:53,Контрагенты (agent),В разработке,HELPDESK-6160
Контрагенты: Паспортные данные,Ограничение доступа в реестре контрагентов для МОПов,Самсон,A,Нет: приоритет от стейкхолдера,29 июл. 2025 19:12,Права (access),Зафиксировано,HELPDESK-5505
ЛК: Общие,Подключить эквайринг для оплаты ДБ по ссылке,Аквилон,B,Нет: приоритет от стейкхолдера,7 авг. 2025 18:13,Личный кабинет (personal),На проверке,HELPDESK-5581
Массовый редактор: Общие,Выводить сумму покомнатной жилой площади в экспорте,Атлас,B,Нет: приоритет от стейкхолдера,11 нояб. 2025 11:02,Массовый редактор (masseditor),Зафиксировано,HELPDESK-6116
Массовый редактор: Общие,Добавить возможность указывать интервал для высоты потолков,Атлас,B,Нет: приоритет от стейкхолдера,11 нояб. 2025 14:15,Массовый редактор (masseditor),Рассматривает разработка,HELPDESK-6124
Массовый редактор: Общие,Выгружать в файл импорта фактические секции и ряды нежилых помещений,Атлас,B,Нет: приоритет от стейкхолдера,15 апр. 2025 08:04,Массовый редактор (masseditor),Зафиксировано,HELPDESK-4821
Массовый редактор: Общие,Добавить возможность объединять ячейки в нежилье,Элемент,A,Нет: приоритет от стейкхолдера,3 сент. 2025 11:31,Массовый редактор (masseditor),Включили в эпик ДК,HELPDESK-5723
Массовый редактор: Общие,Добавить возможность дублирования списка акций в массовом редакторе,Аквилон,A,Нет: приоритет от стейкхолдера,30 апр. 2025 18:33,Массовый редактор (masseditor),Сообщено клиенту,HELPDESK-4926
Массовый редактор: Общие,"Добавить возможность редактировать порядок изображений в разделе ""Дополнительное",Плюс,B,Нет: приоритет от стейкхолдера,30 апр. 2025 18:49,Массовый редактор (masseditor),Рассматривает аккаунт,HELPDESK-4927
Массовый редактор: Описания,Сделать вынос блока с описанием в правую часть в массовом редакторе,УДС,B,Нет: приоритет от стейкхолдера,7 нояб. 2025 13:59,Массовый редактор (masseditor),В очереди на разработку,HELPDESK-6091
Массовый редактор: Описания,Добавить возможность указывать отделку для паркингов и кладовых,УДС,A,Нет: приоритет от стейкхолдера,8 июл. 2025 10:14,Массовый редактор (masseditor),Зафиксировано,HELPDESK-5306
Массовый редактор: ПИБ,Добавить возможность импортировать площади по ПИБ для площадей с понижающим коэффициентом,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,28 янв. 2025 17:51,Массовый редактор (masseditor),Сообщено клиенту,HELPDESK-4147
Массовый редактор: ПИБ,Добавить возможность замены жилых и нежилых площадей на ПИБ,Атлас,A,Нет: приоритет от стейкхолдера,6 июн. 2025 07:01,Массовый редактор (masseditor),Рассматривает разработка,HELPDESK-5124
Отчеты: Выгрузка,Выгрузка отчета по проданным и остаткам в эксель,Верен,A,Нет: приоритет от стейкхолдера,10 февр. 2025 12:51,Таблицы (table),Зафиксировано,HELPDESK-4261
Отчеты: Выгрузка,Экспорт измененного отчета по проданным и остаткам в ексель,Аквилон,B,Нет: приоритет от стейкхолдера,13 мар. 2025 14:08,Таблицы (table),Рассматривает аккаунт,HELPDESK-4562
Отчеты: Выгрузка,Добавить возможность скачивать отчет не проваливаясь в него,Амград,B,Нет: приоритет от стейкхолдера,24 июн. 2025 09:31,Конфигуратор отчётов (configurator),В разработке,HELPDESK-5223
Отчеты: Общие,Выгружать в конфигуратор второго менеджера из КС,Аквилон,A,Нет: приоритет от стейкхолдера,1 апр. 2025 16:49,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-4711
Отчеты: Общие,Глобальная настройка коэффициента приведения м2,Атлас,A,Нет: приоритет от стейкхолдера,13 авг. 2025 12:02,—,Зафиксировано,HELPDESK-5618
Отчеты: Общие,Добавить новые данные в Ежедневный отчёт по сделкам,Верен,B,Нет: приоритет от стейкхолдера,14 янв. 2025 17:44,Таблицы (table),Зафиксировано,HELPDESK-4041
Отчеты: Общие,Почему не отображаются проценты в фактах продаж,Амград,B,Нет: приоритет от стейкхолдера,21 мая 2025 14:28,План продаж (plan),Рассматривает разработка,HELPDESK-5033
Отчеты: Общие,Вывести Перспективу в отдельный статус в Аллио,Плюс,A,A,24 июн. 2025 17:50,Шахматка (layout),Рассматривает разработка,HELPDESK-5231
Отчеты: Общие,Выгружать в конфигуратор ответственного менеджера,Верен,B,Нет: приоритет от стейкхолдера,25 июл. 2025 13:16,Конфигуратор отчётов (configurator),Рассматривает аккаунт,HELPDESK-5467
Отчеты: Общие,"Добавить в конфигуратор отчётов поле ""Изменение цены",Амград,A,Нет: приоритет от стейкхолдера,25 июн. 2025 17:36,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-5247
Отчеты: Общие,Исправление неточностей в отчетах,Плюс,A,A,26 июн. 2025 10:33,Таблицы (table),Зафиксировано,HELPDESK-5250
Отчеты: Общие,"Добавить в конфигуратор поле ""Дата ввода в эксплуатацию",Атлас,A,Нет: приоритет от стейкхолдера,26 мар. 2025 10:17,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-4667
Отчеты: Общие,Выводить в конфигуратор отчетов данные по типу оплаты ПБ,Аквилон,A,Нет: приоритет от стейкхолдера,26 мая 2025 17:04,Конфигуратор отчётов (configurator),Рассматривает аккаунт,HELPDESK-5054
Отчеты: Общие,Добавить поля дополнительных площадей в Конфигуратор отчётов,Аквилон,A,Нет: приоритет от стейкхолдера,27 февр. 2025 11:57,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-4457
Отчеты: Общие,Добавить возможность в отчете Факт продаж выбирать условия факта продажи,Амград,B,Нет: приоритет от стейкхолдера,28 мая 2025 09:16,Таблицы (table),Зафиксировано,HELPDESK-5068
Отчеты: Общие,Сделать необязательными поля при редактировании уступки,Атлас,A,Нет: приоритет от стейкхолдера,29 авг. 2025 18:01,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-5705
Отчеты: Общие,Добавить поле Программа кредитования в ЗнД,Амград,B,Нет: приоритет от стейкхолдера,30 апр. 2025 10:46,Заявки на договор (applist),Зафиксировано,HELPDESK-4914
Отчеты: Общие,Можно ли выгрузить в конфигуратор площадь с балконом без ПК,Аквилон,B,Нет: приоритет от стейкхолдера,5 мар. 2025 10:44,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-4500
Отчеты: Общие,Добавить возможность формировать отчет по дате подписания,Амград,A,Нет: приоритет от стейкхолдера,9 апр. 2025 13:52,Таблицы (table),Зафиксировано,HELPDESK-4776
Отчеты: По броням,Добавить в реестр корпоративного резерва id помещения,УДС,A,Нет: приоритет от стейкхолдера,14 янв. 2025 15:28,Таблицы (table),Зафиксировано,HELPDESK-4039
